CNPJ;RazaoSocial;Trimestre;Ano;ValorDespesas
02687852000124;UNIMED DE ANDRADINA - COOPERATIVA DE TRABALHO MÉDICO;1T;2025;9999084.13
04201372000137;UNIMED BELÉM COOPERATIVA DE TRABALHO MÉDICO;1T;2025;376347317.08
16921561000163;UNIMED MONTES CLAROS COOPERATIVA DE  TRABALHO MÉDICO LTDA.;1T;2025;25637777.07
50368034000101;UNIMED DE AVARÉ COOPERATIVA DE TRABALHO MÉDICO;1T;2025;12214557.38
02030246000131;ASSOCIAÇÃO BENEFICENTE DE ASSISTÊNCIA A SAÚDE DOS JUÍZES DO TRABALHO DA 15ª REGIÃO (ABAS 15);1T;2025;28161018.18
92240605000178;ON MED ASSISTÊNCIA MÉDICA LTDA;1T;2025;2485208.98
42940528000190;UNIMED PARÁ DE MINAS COOPERATIVA DE TRABALHO MÉDICO LTDA.;1T;2025;21327551.93
22720791000167;UNIMED INCONFIDENTES COOPERATIVA DE TRABALHO MÉDICO LTDA.;1T;2025;27739091.64
01867792000169;NACIONAL ODONTO OPERADORA DE PLANOS ODONTOLÓGICOS LTDA.;1T;2025;4103796.56
37436920000167;UNIMED BARRA DO GARÇAS - COOPERATIVA DE TRABALHO MÉDICO;1T;2025;29450789.28
78738101000151;DENTAL UNI - COOPERATIVA ODONTOLÓGICA;1T;2025;14295423.68
17143876000190;AME-ASSISTÊNCIA MÉDICA A EMPRESAS LTDA;1T;2025;2403405.88
75055772000120;UNIMED CURITIBA - SOCIEDADE COOPERATIVA DE MÉDICOS;1T;2025;748372943.59
45425899000122;UNIMED DE BOTUCATU COOPERATIVA DE TRABALHO MÉDICO;1T;2025;59072644.98
78420783000150;UNIMED OESTE DO PARANA - COOPERATIVA DE TRABALHO MEDICO;1T;2025;22751546.13
72120124000111;UNIODONTO RS FEDERACAO DAS UNIODONTOS DO RGS LTDA;1T;2025;834787.73
33546979000157;UNIMED REGIONAL SUL GOIAS COOP. DE TRABALHO MÉDICO LTDA;1T;2025;23403090.78
22666341000133;PRONTOCLINICA E HOSPITAIS SAO LUCAS S/A;1T;2025;6372970.05
02858169000102;NOSAMED ASSISTÊNCIA MÉDICA LTDA.;1T;2025;1621567.86
72547623000190;SANTA CASA DE MISERICÓRDIA DE TUPÃ;1T;2025;2400976.28
81715716000177;UNIMED REGIONAL DE CAMPO MOURÃO COOP TRAB MEDICO;1T;2025;37615752.31
44663631000166;UNIMED DE RIO CLARO SP COOPERATIVA DE TRABALHO MEDICO;1T;2025;43748678.28
87300448000109;UNIMED - COOPERATIVA DE SERVIÇOS DE SAÚDE DOS VALES DO TAQUARI E RIO PARDO LTDA.;1T;2025;135438392.80
00299149000113;ASSOCIAÇÃO DOS FUNCIONÁRIOS DO FISCO DO ESTADO DE GOIÁS;1T;2025;9584541.37
02322043000119;UNIMED REGIONAL JAU - COOPERATIVA DE TRABALHO MÉDICO;1T;2025;41616243.03
17689407000170;UNIMED JUIZ DE FORA COOPERATIVA DE TRABALHO MÉDICO LTDA;1T;2025;128408414.77
02315431000172;CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO BANCO DO ESTADO DO RIO GRANDE DO SUL;1T;2025;60966577.25
12585261000108;FUNDAÇAO COMPESA DE PREVIDENCIA E ASSISTENCIA - COMPESAPREV;1T;2025;26734013.09
80525652000189;UNIMED VALE DO PIQUIRI-COOPERATIVA DE TRABALHO MÉDICO VALE DO PIQUIRI;1T;2025;8909998.65
29167970000168;ASSOCIAÇÃO DOS SERVIDORES MUNICIPAIS, ESTADUAIS E FEDERAIS DO RIO DE JANEIRO;1T;2025;3091834.96
25810946000144;UNIMED BARBACENA - COOPERATIVA DE TRABALHO MÉDICO LTDA;1T;2025;16711245.28
31925548000176;GRUPO HOSPITALAR DO RIO DE JANEIRO LTDA;1T;2025;502737234.24
67577171000159;UNIMED DE MONTE ALTO - COOPERATIVA DE TRABALHO MÉDICO;1T;2025;7272764.04
37313475000148;UNIMED PALMAS COOPERATIVA DE TRABALHO MÉDICO;1T;2025;34555131.88
17146846000137;PESSOAL SAÚDE PLANOS DE ASSISTÊNCIA MÉDICA LTDA;1T;2025;5737112.64
88645403000139;CIRCULO OPERARIO CAXIENSE;1T;2025;67168473.46
02752923000125;PROASA SAÚDE;1T;2025;47082680.13
40223893000159;ODONTO EMPRESAS CONVENIOS DENTARIOS LTDA.;1T;2025;3106742.67
01371135000126;UNIMED VALE DO URUCUIA - COOPERATIVA DE TRABALHO MEDICO LTDA;1T;2025;64547.93
36540979000138;UNIMED COSTA VERDE RJ;1T;2025;16579706.97
51427540000197;UNIMED DE OURINHOS - COOPERATIVA DE TRABALHO MÉDICO;1T;2025;40847753.30
00304148000110;FUNDAÇÃO DE SAÚDE ITAIGUAPY;1T;2025;20740389.38
89870547000151;UNIMED PELOTAS/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.;1T;2025;50162582.39
23031479000129;UNIODONTO DE MANAUS - COOPERATIVA ODONTOLÓGICA LTDA.;1T;2025;2769928.51
87701249000102;UNIMED MISSÕES/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.;1T;2025;26637627.99
73936395000102;UNIMED ENCOSTA DA SERRA/RS SOCIEDADE COOPERATIVA DE SERVIÇOS DE SAÚDE LTDA.;1T;2025;33784242.51
49210966000142;UNIMED REGIONAL DA BAIXA MOGIANA - COOPERATIVA DE TRABALHO MÉDICO;1T;2025;84920061.47
00262338000111;UNIMED DE ADAMANTINA-COOPERATIVA DE TRABALHO MÉDICO;1T;2025;7795606.64
04612990000170;UNIMED DE MANAUS COOP. DO TRABALHO MÉDICO LTDA;1T;2025;32952688.40
73809352000166;FUNDAÇÃO SAÚDE ITAÚ;1T;2025;523884337.14
62476676000103;INTERMEDICI PIRACICABA ASSISTENCIA MEDICA LTDA;1T;2025;9660599.30
26629238000174;UNIMED ANÁPOLIS COOPERATIVA DE TRABALHO MÉDICO.;1T;2025;36898177.25
31432792000105;UNIMED DO EST. DO RJ FEDERAÇÃO EST. DAS COOPERATIVAS MÉDICAS;1T;2025;1185440919.63
30417661000188;UNIMED NORTE FLUMINENSE COOPERATIVA DE TRABALHO MEDICO;1T;2025;25704190.69
78339439000130;UNIMED DO ESTADO DO PARANÁ FEDERAÇÃO ESTADUAL DAS COOPERATIVAS MÉDICAS;1T;2025;156380661.87
03315918000118;UNIMED CAMPO GRANDE MS COOPERATIVA DE TRABALHO MÉDICO;1T;2025;207320407.07
25064148000110;COOPERATIVA DE TRABALHO MEDICO DE ARAGUAÍNA - UNIMED ARAGUAÍNA;1T;2025;11311383.14
52657079000121;UNIMED DE BATATAIS - COOPERATIVA DE TRABALHO MÉDICO;1T;2025;1612537.09
87306361000149;UNIMED VALE DO CAÍ/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.;1T;2025;30683296.16
69612158000119;UNIMED REGIONAL DE PICOS - COOPERATIVA DE TRABALHO MÉDICO;1T;2025;3534694.43
73162760000179;UNIODONTO DE SÃO JOSÉ DOS CAMPOS COOPERATIVA DE TRABALHO ODONTOLÓGICO;1T;2025;9347029.92
02597394000132;UNIMED VALE DO SEPOTUBA - COOPERATIVA DE TRABALHO MÉDICO;1T;2025;50566553.02
60975174000100;ASSOCIAÇÃO DE BENEFICÊNCIA E FILANTROPIA SÃO CRISTOVÃO;1T;2025;169576703.73
00840048000108;UNIMED DE PIRASSUNUNGA COOPERATIVA DE TRABALHO MÉDICO;1T;2025;9054211.01
02172353000102;CAIXA ASSISTENCIAL UNIVERSITÁRIA DO RIO GRANDE DO NORTE;1T;2025;17771323.75
44595858000111;UNIODONTO DO BRASIL CENTRAL NACIONAL DAS COOPERATIVAS ODONTÓLOGICAS;1T;2025;2726073.09
00571628000147;DENTAL PLUS CONVÊNIO ODONTOLÓGICO LTDA.;1T;2025;806568.16
66343534000129;UNIMED VIÇOSA - COOPERATIVA DE TRABALHO MÉDICO;1T;2025;10402720.36
17505793000101;ABERTTA SAÚDE - ASSOCIAÇÃO BENEFICENTE DOS EMPREGADOS DA ARCELORMITTAL NO BRASIL;1T;2025;45234832.87
22263081000155;HOSPITAL CESAR LEITE;1T;2025;2606520.86
68204486000113;UNIMED DE DRACENA - COOPERATIVA DE TRABALHO MÉDICO;1T;2025;7763656.15
82956996000178;FUNDAÇÃO CELESC DE SEGURIDADE SOCIAL - CELOS;1T;2025;50566835.02
82353079000107;PARANA ASSISTENCIA MEDICA LTDA;1T;2025;16646744.58
62465117000106;FUNDAÇÃO CESP;1T;2025;364078213.34
41905498000119;UNIMED NOROESTE DE MINAS COOPERATIVA DE TRABALHO MEDICO LTDA;1T;2025;8298927.19
00660903000107;FUNDAÇÃO AFFEMG DE ASSISTÊNCIA E SAÚDE - FUNDAFFEMG;1T;2025;44647215.63
15215452000168;CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO BANEB;1T;2025;6815581.45
64327059000171;UNIMED CATAGUASES COOPERATIVA DE TRABALHO MÉDICO LTDA;1T;2025;11037437.84
44803922000102;UNIMED DE PIRACICABA SOCIEDADE COOPERATIVA DE SERVIÇOS MÉDICOS;1T;2025;150834801.75
44863959000126;UNIMED DE PRESIDENTE PRUDENTE COOPERATIVA DE TRAB. MÉDICO;1T;2025;106013723.71
41781949000153;UNIMED POÇOS DE CALDAS - SOC. COOP. DE TRAB. E SERVIÇOS MÉDICOS;1T;2025;23947657.09
41511429000120;UNIMED REGIONAL DE FLORIANO - COOPERATIVA DE TRABALHO MÉDICO;1T;2025;6736715.40
42465310000121;TELOS - FUNDAÇÃO EMBRATEL DE SEGURIDADE SOCIAL;1T;2025;1680720.58
73395469000140;CAIXA DE ASSISTENCIA A SAUDE DA UNIVERSIDADE;1T;2025;31969866.09
66343559000122;UNIMED TEOFILO OTONI COOPERATIVA DE TRABALHO MÉDICO;1T;2025;34219703.80
93507895000136;POLIMÉDICA SAÚDE SOCIEDADE SIMPLES LTDA;1T;2025;124677.97
65442162000125;UNIODONTO DE ARARAQUARA COOPERATIVA ODONTOLÓGICA;1T;2025;1532924.66
85177194000158;COOPERATIVA DE TRABALHO MÉDICO DO PLANALTO NORTE DE SANTA CATARINA LTDA;1T;2025;14434089.38
05868278000107;UNIMED DE FORTALEZA SOCIEDADE COOPERATIVA MÉDICA LTDA.;1T;2025;628048750.62
42160192000143;FUNDAÇÃO CHESF DE ASSISTÊNCIA E SEGURIDADE SOCIAL;1T;2025;67366195.08
62635990000191;ASSOCIACAO DOS AUDITORES FISCAIS DA RECEITA ESTADUAL DE SAO PAULO;1T;2025;79274881.76
71499792000139;UNIMED VERTENTE DO CAPARAÓ - COOPERATIVA DE TRABALHO MÉDICO LTDA;1T;2025;8922170.38
26291484000169;UNIMED GUAXUPÉ COOPERATIVA DE TRABALHO MEDICO;1T;2025;13766861.42
85246916000189;COOPERATIVA DE TRABALHO MEDICO REGIÃO DO PLANALTO SERRANO;1T;2025;9578642.82
83506030000100;BENEFICENCIA CAMILIANA DO SUL;1T;2025;57502692.66
74521188000150;UNIMED DE SÃO ROQUE - COOPERATIVA DE TRABALHO MÉDICO;1T;2025;24068168.69
02888465000156;OPERADORA UNICENTRAL DE PLANOS DE SAÚDE LTDA.;1T;2025;26388334.65
35642768000143;UNIMED METROPOLITANA DO AGRESTE - COOPERATIVA DE TRABALHO MÉDICO;1T;2025;34219043.08
25250820000162;UNIMED DIVINOPOLIS - COOPERATIVA DE TRABALHO MEDICO LTDA;1T;2025;132203582.69
00636975000100;SÃO DOMINGOS SAÚDE- ASSISTÊNCIA MÉDICA  LTDA;1T;2025;13005088.27
87607149000111;UNIMED PLANALTO MÉDIO/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.;1T;2025;40914121.83
51473692000126;IRMANDADE DA SANTA CASA DE MISERICORDIA DE LIMEIRA;1T;2025;19734307.55
87497368000195;UNIMED SANTA MARIA/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA;1T;2025;63831016.35
35908607000159;CAMIM OPERADORA DE PLANO DE SAÚDE LTDA;1T;2025;977782.98
43643139000166;UNIMED DO ESTADO DE SÃO PAULO - FEDERAÇÃO ESTADUAL DAS COOP. MÉDICAS;1T;2025;325879655.03
37275625000176;UNIMED RIO VERDE COOPERATIVA TRABALHO MEDICO;1T;2025;53956546.13
32440968000125;UNIMED SUL CAPIXABA COOPERATIVA DE TRABALHO MÉDICO;1T;2025;98591544.35
00668790000188;CAIXA DE ASSISTÊNCIA SISTEMA SAÚDE INTEGRAL-SSI SAUDE;1T;2025;10613737.74
01647867000104;UNIMED INTRAFEDERATIVA FEDERAÇÃO REGIONAL SUL DE MINAS;1T;2025;225171.17
81076069000109;UNIMED DE PARANAVAÍ COOPERATIVA DE TRABALHO MÉDICO;1T;2025;23954745.69
39210844000100;UNIMED CENTRO SUL FLUMINENSE COOPERATIVA DE TRABALHO MÉDICO;1T;2025;18974640.65
08680639000177;UNIMED JOAO PESSOA - COOPERATIVA DE TRABALHO MÉDICO;1T;2025;245019635.12
00368318000120;UNIMED MARQUES DE VALENÇA COOPERATIVA DE TRABALHO MÉDICO LTDA.;1T;2025;12431292.61
24243925000121;UNIODONTO MACEIÓ COOPERATIVA ODONTOLÓGICA;1T;2025;4786366.80
82602327000106;UNIMED DE JOINVILLE COOPERATIVA DE TRABALHO MÉDICO;1T;2025;140101664.97
72127210000156;IRMANDADE DA SANTA CASA DE MISERICÓRDIA E MATERNIDADE DONA ZILDA SALVAGNI;1T;2025;7167731.59
;;1T;2025;435104.41
29640612000120;CONFERÊNCIA SÃO JOSÉ DO AVAÍ;1T;2025;8716081.01
10395358000114;UNIMED DO CEARÁ - FEDERAÇÃO DAS SOCIEDADES COOPERATIVAS MÉDICAS DO ESTADO DO CEARÁ LTDA.;1T;2025;73818216.45
25335803000128;ASSOCIAÇÃO BENEFICENTE CATÓLICA;1T;2025;2646384.94
78044815000160;UNIMED GUARAPUAVA COOPERATIVA DE TRABALHO MÉDICO;1T;2025;28454734.58
23802218000165;UNIMED ITAJUBA COOPERATIVA DE TRABALHO MEDICO;1T;2025;20892275.25
02156150000114;DENTALPAR ASSISTÊNCIA ODONTOLÓGICA EMPRESARIAL LTDA.;1T;2025;1184197.53
00012698000165;UNIMED DE PENAPOLIS - COOPERATIVA DE TRABALHO MEDICO;1T;2025;3772775.00
69087922000184;UNIMED NORTE PAULISTA - COOPERATIVA DE TRABALHO MÉDICO;1T;2025;15657912.34
03658432000182;GEAP AUTOGESTÃO EM SAÚDE;1T;2025;1224189803.85
40853020000120;UNIMED VALE DO SÃO FRANCISCO COOPERATIVA DE TRABALHO MÉDICO;1T;2025;92513562.33
27626696000112;UNIMED CABO FRIO COOPERATIVA TRABALHO MÉDICO LTDA.;1T;2025;15769796.59
25329079000120;UNIMED SÃO JOÃO DEL REI - COOPERATIVA DE TRABALHO MÉDICO;1T;2025;20388450.87
26150979000178;FUNDAÇÃO FILANTRÓPICA E BENEFICENTE DE SAÚDE ARNALDO GAVAZZA FILHO;1T;2025;8882598.89
28806545000109;UNIMED PETROPOLIS-RJ COOPERATIVA DE TRABALHO MÉDICO;1T;2025;43696113.83
57214900000159;UNIMED ALTA MOGIANA COOPERATIVA DE TRABALHO MÉDICO;1T;2025;16410418.00
71064539000152;UNIMED SUDOESTE DE MINAS COOPERATIVA DE TRABALHO MÉDICO;1T;2025;5754603.60
09237009000195;UNIMED NORTE/NORDESTE-FEDERAÇÃO INTERFEDERATIVA DAS SOCIEDADES COOPERATIVAS DE TRABALHO MÉDICO EM RECUPERAÇÃO JUDICIAL;1T;2025;703688.09
68682715000105;PLAMER PLANO MEDICO RESENDE LTDA;1T;2025;8188441.83
97388490000187;UNIMED COSTA DO DESCOBRIMENTO COOPERATIVA DE TRABALHO MÉDICO;1T;2025;32602982.87
42182170000184;CAIXA DE ASSISTÊNCIA À SAÚDE - CABERJ;1T;2025;58779300.54
30036685000197;CAIXA DE PREVIDÊNCIA E ASSISTÊNCIA DOS SERVIDORES DA FUNDAÇÃO NACIONAL DE SAÚDE - CAPESESP;1T;2025;78780076.37
69259356000140;S.P.A SAUDE- SISTEMA DE PROMOÇÃO ASSISTENCIAL;1T;2025;50304469.15
40960189000189;UNIMED PARAIBA - FEDERAÇAO DAS SOCIEDADES COOPERATIVAS DE TRABALHO MEDICO;1T;2025;198.58
01193663000132;UNIMED DE CATALÃO COOPERATIVA DE TRABALHO MÉDICO;1T;2025;18628240.88
67417519000140;UNIMED DE LENÇOIS PAULISTA - COOPERATIVA DE TRABALHO MÉDICO;1T;2025;19511623.74
34063123000193;UNIMED DO OESTE DA BAHIA COOPERATIVA DE TRABALHO MÉDICO;1T;2025;3188270.48
66854779000110;ASSISTÊNCIA MÉDICA SÃO MIGUEL LTDA;1T;2025;21381591.99
20946877000187;AMPARA ASSISTÊNCIA MÉDICA PARAÍSO LTDA;1T;2025;8838786.07
87827689000100;UNIMED SERRA GAUCHA/RS COOPERATIVA DE ASSISTENCIA A SAUDE LTDA;1T;2025;238177897.83
29309127000179;AMIL ASSISTÊNCIA MÉDICA INTERNACIONAL S.A.;1T;2025;5320013593.04
50739135000141;SOBAM CENTRO MÉDICO HOSPITALAR S.A.;1T;2025;95209247.46
78613841000161;ASSOCIAÇÃO EVANGELICA BENEFICENTE DE LONDRINA;1T;2025;45638422.88
15214919000155;PROMÉDICA - PROTEÇÃO MEDICA A EMPRESAS S.A.;1T;2025;73551777.82
05455431000166;CASA DE SAÚDE NOSSA SENHORA DE FÁTIMA  LTDA.;1T;2025;282159.35
66453168000160;UNIMED SÃO SEBASTIÃO DO PARAÍSO COOPERATIVA DE TRABALHO MÉDICO;1T;2025;7087338.17
59847780000152;AUSTACLINICAS ASSISTÊNCIA MÉDICA E HOSPITALAR LTDA;1T;2025;59455534.98
66916305000156;UNIMED SUDOESTE PAULISTA COOPERATIVA DE TRABALHO MÉDICO;1T;2025;6258289.07
83937631000169;CAIXA ASSISTENCIAL E BENEFICENTE DOS FUNCIONÁRIOS DA ACARESC;1T;2025;25883369.57
71186886000158;UNIMED SÃO JOÃO NEPOMUCENO COOPERATIVA DE TRABALHO MÉDICO LTDA.;1T;2025;4517679.06
12442737000143;UNIMED MACEIO COOPERATIVA DE TRABALHO MÉDICO;1T;2025;252571793.11
01559455000104;UNIMED NORDESTE PAULISTA - FED. INTRAFEDERATIVA DAS COOP. MÉDICAS;1T;2025;23761669.24
00552181000169;UNIMED DE MOCOCA COOPERATIVA DE TRAB. MÉDICO;1T;2025;9871010.10
92316124000107;UNIMED REGIÃO DA FRONTEIRA - RS COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.;1T;2025;6406115.28
00453863000114;MED-TOUR ADMINISTRADORA DE BENEFÍCIOS E EMPREENDIMENTOS LTDA.;1T;2025;37641327.32
82996703000186;UNIMED DE CRICIÚMA COOPERATIVA DE TRABALHO MÉDICO DA REGIÃO CARBONÍFERA;1T;2025;70412474.69
55189930000127;IRMANDADE DE MISERICORDIA DE PORTO FERREIRA;1T;2025;11027809.05
72783970000111;UNIMED DE JABOTICABAL COOP. DE TRABALHO MÉDICO;1T;2025;23629570.34
26189530000113;UNIMED CURVELO COOPERATIVA DE TRABALHO MÉDICO LTDA.;1T;2025;27653378.26
72957814000120;SANTA CASA DE MISERICÓRDIA DE VOTUPORANGA;1T;2025;11095298.53
29290152000158;UNIMED DE BARRA MANSA SOC. COOP. SERV.MED.E HOSPIT.;1T;2025;26849551.19
09306242000182;ASSOCIAÇÃO DOS AUDITORES FISCAIS DO ESTADO DA PARAÍBA - AFRAFEP;1T;2025;11543820.44
68709211000131;UNIMED RESENDE COOPERATIVA DE TRABALHO MÉDICO;1T;2025;25730239.27
31787625000179;FUNDAÇÃO DE SEGURIDADE SOCIAL DA ARCELORMITTAL BRASIL - FUNSSEST;1T;2025;28991675.01
02903477000102;ASSOCIAÇÃO SAÚDE CONCEIÇÃO;1T;2025;4631440.87
02064028000118;UNIODONTO DE PINDAMONHANGABA COOP ODONTOLOGICA;1T;2025;1084699.55
34269803000168;REAL GRANDEZA - FUNDAÇÃO DE PREVIDÊNCIA E ASSISTÊNCIA SOCIAL;1T;2025;72897411.63
60633369000163;UNIMED DE BEBEDOURO COOPERATIVA DE TRABALHO MÉDICO;1T;2025;53688518.88
25910449000118;UNIMED ARAXÁ COOPERATIVA DE TRABALHO MÉDICO LTDA.;1T;2025;18853216.42
60214517000105;UNIMED SAO JOSE DOS CAMPOS - COOPERATIVA DE TRABALHO MEDICO;1T;2025;155893583.45
39419809000198;PASA - PLANO DE ASSISTENCIA A SAUDE DO APOSENTADO DA VALE;1T;2025;105221473.72
74466137000172;UNIMED DE GUARULHOS COOPERATIVA DE TRABALHO MÉDICO;1T;2025;56579286.04
01672007000112;SISTEMA PREVSAUDE DENTAL LTDA;1T;2025;327877.36
15395999000192;UNIMED DE DOURADOS COOPERATIVA DE TRABALHO MÉDICO LTDA;1T;2025;38566184.38
57746455000178;MEDISERVICE OPERADORA DE PLANOS DE SAÚDE S.A.;1T;2025;0.00
52852100000140;IRMANDADE DE MISERICÓRDIA DO HOSPITAL DA SANTA CASA DE MONTE ALTO;1T;2025;14199446.30
89761670000134;ASSOCIAÇAO UNISAUDE MARAU;1T;2025;3526107.01
23278898000160;IRMANDADE DA SANTA CASA DE MISERICÓRDIA DE PASSOS;1T;2025;12708670.32
48721401000167;UNIMED DE CAÇAPAVA - COOPERATIVA DE TRABALHO MEDICO;1T;2025;19424752.98
58702853000155;UNIODONTO DE SOROCABA COOPERATIVA ODONTOLÓGICA;1T;2025;1552783.22
01773319000112;UNIMED VALE DO PARAÍBA - FEDERAÇÃO INTRAFEDERATIVA DAS COOPERATIVAS MÉDICAS;1T;2025;0.00
82624776000147;UNIMED BLUMENAU - COOPERATIVA DE TRABALHO MEDICO;1T;2025;165952615.89
37652765000116;UNIMED DE JATAÍ COOPERATIVA DE TRABALHO MÉDICO LTDA.;1T;2025;3918374.24
45100138000109;UNIMED SAO JOSÉ DO RIO PRETO - COOP. DE TRABALHO MÉDICO;1T;2025;299531883.53
00111826000128;UNIMED ARARUAMA COOPERATIVA DE TRABALHO MÉDICO LTDA;1T;2025;31074591.17
23725062000166;UNIODONTO DE FORTALEZA COOPERATIVA DE TRABALHO ODONTOLOGICO LTDA;1T;2025;5463962.69
29135795000127;UNIMED NOVA FRIBURGO-SOC.COOP.SERV.MED.HOSP.LTDA.;1T;2025;98634264.65
65276354000109;UNIMED ITABIRA COOPERATIVA DE TRABALHO MÉDICO;1T;2025;19335150.68
92128610000193;UNIMED VALE DAS ANTAS, RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.;1T;2025;19215848.32
08380701000105;UNIMED NATAL SOC. COOP. DE TRAB. MÉDICO;1T;2025;274672266.16
31466949000105;SAMEDIL SERVIÇOS DE ATENDIMENTO MÉDICO S/A;1T;2025;348229978.42
02041808000142;ADVANCE PLANOS DE SAÚDE LTDA;1T;2025;6364905.83
46124624000111;UNIMED CAMPINAS - COOPERATIVA DE TRABALHO MÉDICO;1T;2025;733967058.55
14799035000147;ASSOCIAÇÃO DOS SERVIDORES FISCAIS DO ESTADO DA BAHIA;1T;2025;26705614.17
13086566000120;CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO BANESE;1T;2025;6105296.57
00172586000171;UNIODONTO DE PRESIDENTE PRUDENTE COOPERATIVA ODONTOLOGICA;1T;2025;1646750.07
66872888000160;UNIMED DE MARILIA COOPERATIVA DE TRABALHO MÉDICO;1T;2025;81792709.21
08315806000180;UNIMED PATOS - COOPERATIVA DE TRABALHO MÉDICO;1T;2025;3720371.32
79115762000193;IRMANDADE SANTA CASA DE MISERICÓRDIA DE MARINGÁ;1T;2025;30826123.79
81710543000102;UNIMED FRANCISCO BELTRAO COOPERATIVA DE TRABALHO MEDICO;1T;2025;20513161.55
21490586000190;COOPERATIVA DE TRABALHO MÉDICO DE POUSO ALEGRE;1T;2025;67853975.58
05657234000120;UNIMED PORTO VELHO - SOCIEDADE COOPERATIVA MÉDICA LTDA;1T;2025;63187066.26
00946953000147;UNIMED TRÊS RIOS COOPERATIVA DE TRABALHO MÉDICO;1T;2025;17291994.50
86483542000188;UNIMED VALE DO CARANGOLA COOPERATIVA DE TRABALHO MEDICO LTDA;1T;2025;3955105.21
13360276000122;UNIMED SERGIPE - COOPERATIVA DE TRABALHO MÉDICO;1T;2025;140377218.56
84313741000112;UNIMED RIO BRANCO COOPERATIVA DE TRABALHO MEDICO LTDA;1T;2025;50162417.12
90747908000156;SULMED - ASSISTÊNCIA MÉDICA LTDA;1T;2025;16994463.06
77375897000162;FUNDAÇÃO SANEPAR DE ASSISTÊNCIA SOCIAL;1T;2025;54412445.11
35436658000125;DENTAL CENTER LTDA;1T;2025;1084975.51
02812468000106;UNIMED NACIONAL - COOPERATIVA CENTRAL;1T;2025;1603725432.27
19878404000100;FUNDAÇÃO SÃO FRANCISCO XAVIER;1T;2025;158596069.24
42425561000182;SAMIG - SERV. DE ASSISTENCIA MEDICA DA ILHA DO GOVERNADOR LTDA;1T;2025;1349689.81
80653975000158;UNIMED EXTREMO OESTE CATARINENSE COOPERATIVA DE TRABALHO MÉDICO;1T;2025;17797777.18
76882612000117;CLINIPAM CLINICA PARANAENSE DE ASSISTENCIA MEDICA LTDA;1T;2025;164452269.46
