CNPJ,RazaoSocial,Trimestre,Ano,ValorDespesas,RegistroANS,Modalidade,UF
87300448000109,UNIMED - COOPERATIVA DE SERVIÇOS DE SAÚDE DOS VALES DO TAQUARI E RIO PARDO LTDA.,1T,2025,135438392.8,1998-12-21,Cooperativa Médica,RS
00299149000113,ASSOCIAÇÃO DOS FUNCIONÁRIOS DO FISCO DO ESTADO DE GOIÁS,1T,2025,9584541.37,1998-12-23,Autogestão,GO
02322043000119,UNIMED REGIONAL JAU - COOPERATIVA DE TRABALHO MÉDICO,1T,2025,41616243.03,1998-12-18,Cooperativa Médica,SP
17689407000170,UNIMED JUIZ DE FORA COOPERATIVA DE TRABALHO MÉDICO LTDA,1T,2025,128408414.77,1998-12-16,Cooperativa Médica,MG
02315431000172,CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO BANCO DO ESTADO DO RIO GRANDE DO SUL,1T,2025,60966577.25,1998-12-18,Autogestão,RS
12585261000108,FUNDAÇAO COMPESA DE PREVIDENCIA E ASSISTENCIA - COMPESAPREV,1T,2025,26734013.09,1998-12-28,Autogestão,PE
80525652000189,UNIMED VALE DO PIQUIRI-COOPERATIVA DE TRABALHO MÉDICO VALE DO PIQUIRI,1T,2025,8909998.65,1998-12-17,Cooperativa Médica,PR
29167970000168,"ASSOCIAÇÃO DOS SERVIDORES MUNICIPAIS, ESTADUAIS E FEDERAIS DO RIO DE JANEIRO",1T,2025,3091834.96,1999-01-19,Medicina de Grupo,RJ
25810946000144,UNIMED BARBACENA - COOPERATIVA DE TRABALHO MÉDICO LTDA,1T,2025,16711245.28,1998-12-17,Cooperativa Médica,MG
31925548000176,GRUPO HOSPITALAR DO RIO DE JANEIRO LTDA,1T,2025,502737234.24,1998-12-18,Medicina de Grupo,RJ
67577171000159,UNIMED DE MONTE ALTO - COOPERATIVA DE TRABALHO MÉDICO,1T,2025,7272764.04,1998-12-18,Cooperativa Médica,SP
37313475000148,UNIMED PALMAS COOPERATIVA DE TRABALHO MÉDICO,1T,2025,34555131.88,1998-12-24,Cooperativa Médica,TO
17146846000137,PESSOAL SAÚDE PLANOS DE ASSISTÊNCIA MÉDICA LTDA,1T,2025,5737112.64,1998-12-31,Medicina de Grupo,SP
88645403000139,CIRCULO OPERARIO CAXIENSE,1T,2025,67168473.46,1998-12-24,Medicina de Grupo,RS
02752923000125,PROASA SAÚDE,1T,2025,47082680.13,1998-12-18,Medicina de Grupo,DF
40223893000159,ODONTO EMPRESAS CONVENIOS DENTARIOS LTDA.,1T,2025,3106742.67,1998-12-16,Odontologia de Grupo,SP
01371135000126,UNIMED VALE DO URUCUIA - COOPERATIVA DE TRABALHO MEDICO LTDA,1T,2025,64547.93,1998-12-17,Cooperativa Médica,MG
36540979000138,UNIMED COSTA VERDE RJ,1T,2025,16579706.97,1998-12-21,Cooperativa Médica,RJ
51427540000197,UNIMED DE OURINHOS - COOPERATIVA DE TRABALHO MÉDICO,1T,2025,40847753.3,1998-12-18,Cooperativa Médica,SP
00304148000110,FUNDAÇÃO DE SAÚDE ITAIGUAPY,1T,2025,20740389.38,1998-12-23,Medicina de Grupo,PR
89870547000151,UNIMED PELOTAS/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.,1T,2025,50162582.39,1998-12-21,Cooperativa Médica,RS
23031479000129,UNIODONTO DE MANAUS - COOPERATIVA ODONTOLÓGICA LTDA.,1T,2025,2769928.51,1998-12-22,Cooperativa odontológica,AM
87701249000102,UNIMED MISSÕES/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.,1T,2025,26637627.99,1998-12-22,Cooperativa Médica,RS
73936395000102,UNIMED ENCOSTA DA SERRA/RS SOCIEDADE COOPERATIVA DE SERVIÇOS DE SAÚDE LTDA.,1T,2025,33784242.51,1998-12-22,Cooperativa Médica,RS
49210966000142,UNIMED REGIONAL DA BAIXA MOGIANA - COOPERATIVA DE TRABALHO MÉDICO,1T,2025,84920061.47,1998-12-16,Cooperativa Médica,SP
00262338000111,UNIMED DE ADAMANTINA-COOPERATIVA DE TRABALHO MÉDICO,1T,2025,7795606.64,1998-12-18,Cooperativa Médica,SP
04612990000170,UNIMED DE MANAUS COOP. DO TRABALHO MÉDICO LTDA,1T,2025,32952688.4,1998-12-21,Cooperativa Médica,AM
73809352000166,FUNDAÇÃO SAÚDE ITAÚ,1T,2025,523884337.14,1998-12-17,Autogestão,MG
62476676000103,INTERMEDICI PIRACICABA ASSISTENCIA MEDICA LTDA,1T,2025,9660599.3,1998-12-22,Medicina de Grupo,SP
26629238000174,UNIMED ANÁPOLIS COOPERATIVA DE TRABALHO MÉDICO.,1T,2025,36898177.25,1998-12-24,Cooperativa Médica,GO
31432792000105,UNIMED DO EST. DO RJ FEDERAÇÃO EST. DAS COOPERATIVAS MÉDICAS,1T,2025,1185440919.63,1999-01-07,Cooperativa Médica,RJ
30417661000188,UNIMED NORTE FLUMINENSE COOPERATIVA DE TRABALHO MEDICO,1T,2025,25704190.69,1998-12-21,Cooperativa Médica,RJ
78339439000130,UNIMED DO ESTADO DO PARANÁ FEDERAÇÃO ESTADUAL DAS COOPERATIVAS MÉDICAS,1T,2025,156380661.87,1998-12-17,Cooperativa Médica,PR
03315918000118,UNIMED CAMPO GRANDE MS COOPERATIVA DE TRABALHO MÉDICO,1T,2025,207320407.07,1998-12-23,Cooperativa Médica,MS
25064148000110,COOPERATIVA DE TRABALHO MEDICO DE ARAGUAÍNA - UNIMED ARAGUAÍNA,1T,2025,11311383.14,1998-12-24,Cooperativa Médica,TO
52657079000121,UNIMED DE BATATAIS - COOPERATIVA DE TRABALHO MÉDICO,1T,2025,1612537.09,1998-12-18,Cooperativa Médica,SP
87306361000149,UNIMED VALE DO CAÍ/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.,1T,2025,30683296.16,1998-12-22,Cooperativa Médica,RS
69612158000119,UNIMED REGIONAL DE PICOS - COOPERATIVA DE TRABALHO MÉDICO,1T,2025,3534694.43,1998-12-21,Cooperativa Médica,PI
73162760000179,UNIODONTO DE SÃO JOSÉ DOS CAMPOS COOPERATIVA DE TRABALHO ODONTOLÓGICO,1T,2025,9347029.92,1998-12-16,Cooperativa odontológica,SP
02597394000132,UNIMED VALE DO SEPOTUBA - COOPERATIVA DE TRABALHO MÉDICO,1T,2025,50566553.02,1998-12-28,Cooperativa Médica,MT
60975174000100,ASSOCIAÇÃO DE BENEFICÊNCIA E FILANTROPIA SÃO CRISTOVÃO,1T,2025,169576703.73,1998-12-21,Filantropia,SP
00840048000108,UNIMED DE PIRASSUNUNGA COOPERATIVA DE TRABALHO MÉDICO,1T,2025,9054211.01,1998-12-16,Cooperativa Médica,SP
02172353000102,CAIXA ASSISTENCIAL UNIVERSITÁRIA DO RIO GRANDE DO NORTE,1T,2025,17771323.75,1998-12-29,Autogestão,RN
44595858000111,UNIODONTO DO BRASIL CENTRAL NACIONAL DAS COOPERATIVAS ODONTÓLOGICAS,1T,2025,2726073.09,1998-12-17,Cooperativa odontológica,SP
00571628000147,DENTAL PLUS CONVÊNIO ODONTOLÓGICO LTDA.,1T,2025,806568.16,1998-12-23,Odontologia de Grupo,SP
66343534000129,UNIMED VIÇOSA - COOPERATIVA DE TRABALHO MÉDICO,1T,2025,10402720.36,1998-12-17,Cooperativa Médica,MG
17505793000101,ABERTTA SAÚDE - ASSOCIAÇÃO BENEFICENTE DOS EMPREGADOS DA ARCELORMITTAL NO BRASIL,1T,2025,45234832.87,1998-12-28,Autogestão,MG
22263081000155,HOSPITAL CESAR LEITE,1T,2025,2606520.86,1998-12-22,Filantropia,MG
68204486000113,UNIMED DE DRACENA - COOPERATIVA DE TRABALHO MÉDICO,1T,2025,7763656.15,1998-12-21,Cooperativa Médica,SP
82956996000178,FUNDAÇÃO CELESC DE SEGURIDADE SOCIAL - CELOS,1T,2025,50566835.02,1998-12-21,Autogestão,SC
82353079000107,PARANA ASSISTENCIA MEDICA LTDA,1T,2025,16646744.58,1998-12-22,Medicina de Grupo,PR
62465117000106,FUNDAÇÃO CESP,1T,2025,364078213.34,1998-12-29,Autogestão,SP
41905498000119,UNIMED NOROESTE DE MINAS COOPERATIVA DE TRABALHO MEDICO LTDA,1T,2025,8298927.19,1998-12-17,Cooperativa Médica,MG
00660903000107,FUNDAÇÃO AFFEMG DE ASSISTÊNCIA E SAÚDE - FUNDAFFEMG,1T,2025,44647215.63,1998-12-21,Autogestão,MG
15215452000168,CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO BANEB,1T,2025,6815581.45,1998-12-30,Autogestão,BA
64327059000171,UNIMED CATAGUASES COOPERATIVA DE TRABALHO MÉDICO LTDA,1T,2025,11037437.84,1998-12-17,Cooperativa Médica,MG
44803922000102,UNIMED DE PIRACICABA SOCIEDADE COOPERATIVA DE SERVIÇOS MÉDICOS,1T,2025,150834801.75,1998-12-17,Cooperativa Médica,SP
44863959000126,UNIMED DE PRESIDENTE PRUDENTE COOPERATIVA DE TRAB. MÉDICO,1T,2025,106013723.71,1998-12-18,Cooperativa Médica,SP
41781949000153,UNIMED POÇOS DE CALDAS - SOC. COOP. DE TRAB. E SERVIÇOS MÉDICOS,1T,2025,23947657.09,1998-12-18,Cooperativa Médica,MG
41511429000120,UNIMED REGIONAL DE FLORIANO - COOPERATIVA DE TRABALHO MÉDICO,1T,2025,6736715.4,1998-12-21,Cooperativa Médica,PI
42465310000121,TELOS - FUNDAÇÃO EMBRATEL DE SEGURIDADE SOCIAL,1T,2025,1680720.58,1998-12-17,Autogestão,RJ
73395469000140,CAIXA DE ASSISTENCIA A SAUDE DA UNIVERSIDADE,1T,2025,31969866.09,1998-12-22,Autogestão,MG
66343559000122,UNIMED TEOFILO OTONI COOPERATIVA DE TRABALHO MÉDICO,1T,2025,34219703.8,1998-12-17,Cooperativa Médica,MG
93507895000136,POLIMÉDICA SAÚDE SOCIEDADE SIMPLES LTDA,1T,2025,124677.97,1998-12-28,Medicina de Grupo,RS
65442162000125,UNIODONTO DE ARARAQUARA COOPERATIVA ODONTOLÓGICA,1T,2025,1532924.66,1998-12-16,Cooperativa odontológica,SP
85177194000158,COOPERATIVA DE TRABALHO MÉDICO DO PLANALTO NORTE DE SANTA CATARINA LTDA,1T,2025,14434089.38,1998-12-17,Cooperativa Médica,SC
05868278000107,UNIMED DE FORTALEZA SOCIEDADE COOPERATIVA MÉDICA LTDA.,1T,2025,628048750.62,1998-12-21,Cooperativa Médica,CE
42160192000143,FUNDAÇÃO CHESF DE ASSISTÊNCIA E SEGURIDADE SOCIAL,1T,2025,67366195.08,1998-12-24,Autogestão,PE
62635990000191,ASSOCIACAO DOS AUDITORES FISCAIS DA RECEITA ESTADUAL DE SAO PAULO,1T,2025,79274881.76,1998-12-16,Autogestão,SP
71499792000139,UNIMED VERTENTE DO CAPARAÓ - COOPERATIVA DE TRABALHO MÉDICO LTDA,1T,2025,8922170.38,1998-12-17,Cooperativa Médica,MG
26291484000169,UNIMED GUAXUPÉ COOPERATIVA DE TRABALHO MEDICO,1T,2025,13766861.42,1998-12-18,Cooperativa Médica,MG
85246916000189,COOPERATIVA DE TRABALHO MEDICO REGIÃO DO PLANALTO SERRANO,1T,2025,9578642.82,1998-12-17,Cooperativa Médica,SC
83506030000100,BENEFICENCIA CAMILIANA DO SUL,1T,2025,57502692.66,1998-12-22,Filantropia,SP
74521188000150,UNIMED DE SÃO ROQUE - COOPERATIVA DE TRABALHO MÉDICO,1T,2025,24068168.69,1998-12-16,Cooperativa Médica,SP
02888465000156,OPERADORA UNICENTRAL DE PLANOS DE SAÚDE LTDA.,1T,2025,26388334.65,1998-12-21,Medicina de Grupo,SP
35642768000143,UNIMED METROPOLITANA DO AGRESTE - COOPERATIVA DE TRABALHO MÉDICO,1T,2025,34219043.08,1998-12-21,Cooperativa Médica,AL
25250820000162,UNIMED DIVINOPOLIS - COOPERATIVA DE TRABALHO MEDICO LTDA,1T,2025,132203582.69,1998-12-17,Cooperativa Médica,MG
00636975000100,SÃO DOMINGOS SAÚDE- ASSISTÊNCIA MÉDICA  LTDA,1T,2025,13005088.27,1998-12-16,Medicina de Grupo,SP
87607149000111,UNIMED PLANALTO MÉDIO/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.,1T,2025,40914121.83,1998-12-22,Cooperativa Médica,RS
51473692000126,IRMANDADE DA SANTA CASA DE MISERICORDIA DE LIMEIRA,1T,2025,19734307.55,1998-12-23,Filantropia,SP
87497368000195,UNIMED SANTA MARIA/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA,1T,2025,63831016.35,1998-12-22,Cooperativa Médica,RS
35908607000159,CAMIM OPERADORA DE PLANO DE SAÚDE LTDA,1T,2025,977782.98,1999-01-06,Medicina de Grupo,RJ
43643139000166,UNIMED DO ESTADO DE SÃO PAULO - FEDERAÇÃO ESTADUAL DAS COOP. MÉDICAS,1T,2025,325879655.03,1998-12-18,Cooperativa Médica,SP
37275625000176,UNIMED RIO VERDE COOPERATIVA TRABALHO MEDICO,1T,2025,53956546.13,1998-12-24,Cooperativa Médica,GO
32440968000125,UNIMED SUL CAPIXABA COOPERATIVA DE TRABALHO MÉDICO,1T,2025,98591544.35,1998-12-16,Cooperativa Médica,ES
00668790000188,CAIXA DE ASSISTÊNCIA SISTEMA SAÚDE INTEGRAL-SSI SAUDE,1T,2025,10613737.74,1998-12-22,Autogestão,RS
01647867000104,UNIMED INTRAFEDERATIVA FEDERAÇÃO REGIONAL SUL DE MINAS,1T,2025,225171.17,1998-12-18,Cooperativa Médica,MG
81076069000109,UNIMED DE PARANAVAÍ COOPERATIVA DE TRABALHO MÉDICO,1T,2025,23954745.69,1998-12-17,Cooperativa Médica,PR
39210844000100,UNIMED CENTRO SUL FLUMINENSE COOPERATIVA DE TRABALHO MÉDICO,1T,2025,18974640.65,1998-12-21,Cooperativa Médica,RJ
08680639000177,UNIMED JOAO PESSOA - COOPERATIVA DE TRABALHO MÉDICO,1T,2025,245019635.12,1998-12-21,Cooperativa Médica,PB
00368318000120,UNIMED MARQUES DE VALENÇA COOPERATIVA DE TRABALHO MÉDICO LTDA.,1T,2025,12431292.61,1998-12-21,Cooperativa Médica,RJ
24243925000121,UNIODONTO MACEIÓ COOPERATIVA ODONTOLÓGICA,1T,2025,4786366.8,1998-12-22,Cooperativa odontológica,AL
82602327000106,UNIMED DE JOINVILLE COOPERATIVA DE TRABALHO MÉDICO,1T,2025,140101664.97,1998-12-17,Cooperativa Médica,SC
72127210000156,IRMANDADE DA SANTA CASA DE MISERICÓRDIA E MATERNIDADE DONA ZILDA SALVAGNI,1T,2025,7167731.59,1998-12-23,Filantropia,SP
29640612000120,CONFERÊNCIA SÃO JOSÉ DO AVAÍ,1T,2025,8716081.01,1998-12-16,Filantropia,RJ
10395358000114,UNIMED DO CEARÁ - FEDERAÇÃO DAS SOCIEDADES COOPERATIVAS MÉDICAS DO ESTADO DO CEARÁ LTDA.,1T,2025,73818216.45,1998-12-21,Cooperativa Médica,CE
25335803000128,ASSOCIAÇÃO BENEFICENTE CATÓLICA,1T,2025,2646384.94,1998-12-29,Filantropia,MG
78044815000160,UNIMED GUARAPUAVA COOPERATIVA DE TRABALHO MÉDICO,1T,2025,28454734.58,1998-12-17,Cooperativa Médica,PR
23802218000165,UNIMED ITAJUBA COOPERATIVA DE TRABALHO MEDICO,1T,2025,20892275.25,1998-12-18,Cooperativa Médica,MG
02156150000114,DENTALPAR ASSISTÊNCIA ODONTOLÓGICA EMPRESARIAL LTDA.,1T,2025,1184197.53,1998-12-30,Odontologia de Grupo,SP
00012698000165,UNIMED DE PENAPOLIS - COOPERATIVA DE TRABALHO MEDICO,1T,2025,3772775.0,1998-12-18,Cooperativa Médica,SP
69087922000184,UNIMED NORTE PAULISTA - COOPERATIVA DE TRABALHO MÉDICO,1T,2025,15657912.34,1998-12-21,Cooperativa Médica,SP
03658432000182,GEAP AUTOGESTÃO EM SAÚDE,1T,2025,1224189803.85,1998-12-22,Autogestão,DF
40853020000120,UNIMED VALE DO SÃO FRANCISCO COOPERATIVA DE TRABALHO MÉDICO,1T,2025,92513562.33,1998-12-23,Cooperativa Médica,PE
27626696000112,UNIMED CABO FRIO COOPERATIVA TRABALHO MÉDICO LTDA.,1T,2025,15769796.59,1998-12-21,Cooperativa Médica,RJ
25329079000120,UNIMED SÃO JOÃO DEL REI - COOPERATIVA DE TRABALHO MÉDICO,1T,2025,20388450.87,1998-12-17,Cooperativa Médica,MG
26150979000178,FUNDAÇÃO FILANTRÓPICA E BENEFICENTE DE SAÚDE ARNALDO GAVAZZA FILHO,1T,2025,8882598.89,1998-12-30,Filantropia,MG
28806545000109,UNIMED PETROPOLIS-RJ COOPERATIVA DE TRABALHO MÉDICO,1T,2025,43696113.83,1998-12-24,Cooperativa Médica,RJ
57214900000159,UNIMED ALTA MOGIANA COOPERATIVA DE TRABALHO MÉDICO,1T,2025,16410418.0,1998-12-18,Cooperativa Médica,SP
71064539000152,UNIMED SUDOESTE DE MINAS COOPERATIVA DE TRABALHO MÉDICO,1T,2025,5754603.6,1998-12-18,Cooperativa Médica,MG
09237009000195,UNIMED NORTE/NORDESTE-FEDERAÇÃO INTERFEDERATIVA DAS SOCIEDADES COOPERATIVAS DE TRABALHO MÉDICO EM RECUPERAÇÃO JUDICIAL,1T,2025,703688.09,1998-12-18,Cooperativa Médica,PB
68682715000105,PLAMER PLANO MEDICO RESENDE LTDA,1T,2025,8188441.83,1998-12-17,Medicina de Grupo,RJ
97388490000187,UNIMED COSTA DO DESCOBRIMENTO COOPERATIVA DE TRABALHO MÉDICO,1T,2025,32602982.87,1998-12-21,Cooperativa Médica,BA
42182170000184,CAIXA DE ASSISTÊNCIA À SAÚDE - CABERJ,1T,2025,58779300.54,1998-12-21,Medicina de Grupo,RJ
30036685000197,CAIXA DE PREVIDÊNCIA E ASSISTÊNCIA DOS SERVIDORES DA FUNDAÇÃO NACIONAL DE SAÚDE - CAPESESP,1T,2025,78780076.37,1998-12-17,Autogestão,RJ
69259356000140,S.P.A SAUDE- SISTEMA DE PROMOÇÃO ASSISTENCIAL,1T,2025,50304469.15,1998-12-17,Autogestão,SP
40960189000189,UNIMED PARAIBA - FEDERAÇAO DAS SOCIEDADES COOPERATIVAS DE TRABALHO MEDICO,1T,2025,198.58,1998-12-21,Cooperativa Médica,PB
01193663000132,UNIMED DE CATALÃO COOPERATIVA DE TRABALHO MÉDICO,1T,2025,18628240.88,1998-12-24,Cooperativa Médica,GO
67417519000140,UNIMED DE LENÇOIS PAULISTA - COOPERATIVA DE TRABALHO MÉDICO,1T,2025,19511623.74,1998-12-18,Cooperativa Médica,SP
34063123000193,UNIMED DO OESTE DA BAHIA COOPERATIVA DE TRABALHO MÉDICO,1T,2025,3188270.48,1998-12-29,Cooperativa Médica,BA
66854779000110,ASSISTÊNCIA MÉDICA SÃO MIGUEL LTDA,1T,2025,21381591.99,1998-12-21,Medicina de Grupo,SP
20946877000187,AMPARA ASSISTÊNCIA MÉDICA PARAÍSO LTDA,1T,2025,8838786.07,1998-12-21,Medicina de Grupo,MG
87827689000100,UNIMED SERRA GAUCHA/RS COOPERATIVA DE ASSISTENCIA A SAUDE LTDA,1T,2025,238177897.83,1998-12-22,Cooperativa Médica,RS
29309127000179,AMIL ASSISTÊNCIA MÉDICA INTERNACIONAL S.A.,1T,2025,5320013593.04,1998-12-17,Medicina de Grupo,SP
50739135000141,SOBAM CENTRO MÉDICO HOSPITALAR S.A.,1T,2025,95209247.46,1998-12-21,Medicina de Grupo,SP
78613841000161,ASSOCIAÇÃO EVANGELICA BENEFICENTE DE LONDRINA,1T,2025,45638422.88,1998-12-22,Filantropia,PR
15214919000155,PROMÉDICA - PROTEÇÃO MEDICA A EMPRESAS S.A.,1T,2025,73551777.82,1998-12-17,Medicina de Grupo,BA
05455431000166,CASA DE SAÚDE NOSSA SENHORA DE FÁTIMA  LTDA.,1T,2025,282159.35,1999-01-04,Medicina de Grupo,CE
66453168000160,UNIMED SÃO SEBASTIÃO DO PARAÍSO COOPERATIVA DE TRABALHO MÉDICO,1T,2025,7087338.17,1998-12-18,Cooperativa Médica,MG
59847780000152,AUSTACLINICAS ASSISTÊNCIA MÉDICA E HOSPITALAR LTDA,1T,2025,59455534.98,1998-12-21,Medicina de Grupo,SP
66916305000156,UNIMED SUDOESTE PAULISTA COOPERATIVA DE TRABALHO MÉDICO,1T,2025,6258289.07,1998-12-18,Cooperativa Médica,SP
83937631000169,CAIXA ASSISTENCIAL E BENEFICENTE DOS FUNCIONÁRIOS DA ACARESC,1T,2025,25883369.57,1998-12-21,Autogestão,SC
71186886000158,UNIMED SÃO JOÃO NEPOMUCENO COOPERATIVA DE TRABALHO MÉDICO LTDA.,1T,2025,4517679.06,1998-12-22,Cooperativa Médica,MG
12442737000143,UNIMED MACEIO COOPERATIVA DE TRABALHO MÉDICO,1T,2025,252571793.11,1998-12-23,Cooperativa Médica,AL
